Zone,ratio_protein_anim,Disponibilité alimentaire (Kcal/personne/jour),Disponibilité de protéines en quantité (g/personne/jour),ratio_evol_pop,Clusters,Clusters_kmeans
Afrique du Sud,46.5,55805.97432835827,3412.061789759855,16.1,0,0
Allemagne,51.8,94154.02328358212,3910.0721477118263,2.5,2,2
Antigua-et-Barbuda,51.1,47683.73810945283,276.09322156773896,12.8,0,0
Arabie saoudite,51.8,43484.24238805978,1513.0932215677387,30.2,0,0
Argentine,27.7,104493.65731343284,202.0776846397821,10.7,2,2
Autriche,53.6,40398.884975124434,240.08804259175332,6.6,0,0
Azerbaïdjan,58.9,37870.51900497518,566.0828636157678,12.8,0,0
Belgique,56.1,44544.25094527369,2041.0666107838688,6.5,0,0
Bosnie-Herzégovine,52.8,41180.69771144286,135.093221567739,-11.5,0,0
Botswana,51.8,44017.331741293616,490.0776846397822,17.7,0,0
Brésil,9.3,430792.7466666666,8553.077684639782,9.1,3,3
Bulgarie,55.8,35122.112636815975,1411.6373266878113,-6.3,0,0
Burkina Faso,72.8,16335.625472636817,-159.91195740824645,34.5,0,0
Bélarus,53.6,43804.20199004981,1016.7376846397824,-0.0,0,0
Canada,54.7,50578.42965174137,3010.512505663797,11.2,0,0
"Chine, continentale",12.2,269052.9828855721,38205.09768463978,5.5,1,1
Colombie,38.7,51667.031840796044,1959.0673266878118,12.2,0,0
Costa Rica,49.7,44733.38069651748,494.0776846397823,12.0,0,0
Croatie,53.9,36631.42965174135,506.0880425917533,-4.5,0,0
Côte d'Ivoire,65.6,20907.17014925374,1886.0725056637966,27.9,0,0
Danemark,54.9,38144.34029850752,848.3766107838693,4.6,0,0
El Salvador,47.5,47963.69771144286,-109.90677843226109,4.7,0,0
Espagne,48.0,53367.02328358214,-204.95338921613074,1.4,0,0
Estonie,49.7,44742.10407960208,239.05696873584048,-1.3,0,0
Eswatini,47.7,49778.10407960208,316.08286361576785,8.2,0,0
Finlande,54.6,36133.42965174135,-109.91195740824648,3.8,0,0
France,47.2,93271.47860696519,11235.062147711826,4.5,2,2
Fédération de Russie,39.2,111847.60835820896,3768.077684639782,1.7,2,2
Ghana,52.9,46555.33174129362,1411.0828636157676,26.3,0,0
Grenade,52.3,45012.876417910535,348.1191164476664,5.7,0,0
Grèce,52.8,34227.02328358214,801.0828636157678,-4.7,0,0
Guatemala,36.3,53189.89353233834,235.062147711826,23.1,0,0
Géorgie,52.1,40939.69771144286,203.0880425917535,-3.4,0,0
Honduras,48.1,48860.47004975132,126.10286361576796,20.1,0,0
Hongrie,50.8,39480.657313432894,-722.9223153602178,-2.8,0,0
Inde,11.6,312622.5275621891,20941.1925056638,12.7,1,1
Indonésie,11.7,217007.9339303482,10784.062147711826,13.7,4,4
Iran (République islamique d'),53.7,58971.97432835827,-1009.9119574082467,13.4,0,0
Iraq,54.8,42002.24238805978,1477.1035795197095,35.4,0,0
Irlande,59.1,43088.0636815921,773.2621477118257,9.1,0,0
Israël,55.4,38481.0636815921,376.07250566379685,19.4,0,0
Italie,52.9,52696.6573134329,496.07250566379685,2.9,0,0
Japon,51.3,48969.884975124434,559.0725056637968,-1.0,0,0
