Zone,Disponibilité alimentaire (Kcal/personne/jour),Disponibilité de protéines en quantité (g/personne/jour),ratio_evol_pop,ratio_protein_anim,Pib_par_habitant_2017,pib_par_habitant_2018,Importations Valeur 2017,Importations Valeur 2018,Exportations Valeur 2017 usd,Exportations Valeur 2018 usd,Cluster,F1,F2
Arabie saoudite,43484.24238805978,1513.0932215677387,30.2,51.8,20905391689.0,23319887191.0,17495000.0,19146000.0,12897000.0,7157000.0,3,-0.32876798399786505,-0.44256787267124703
Autriche,40398.884975124434,240.08804259175332,6.6,53.6,47887174380.000015,52047260459.0,32714000.0,36944000.0,13086000.0,15975000.0,3,0.8923408136972356,-1.0290290862287994
Belgique,44544.25094527369,2041.0666107838688,6.5,56.1,44118925664.0,47225757205.0,207538000.0,213538000.0,120048000.0,161248000.0,3,3.9066232373995198,-1.1753412750070158
Canada,50578.42965174137,3010.512505663797,11.2,54.7,45057287226.0,46343371942.000015,52627000.0,57158000.0,19362000.0,17225000.0,3,1.0271371585027802,-0.6860124519481675
Danemark,38144.34029850752,848.3766107838693,4.6,54.9,57454289221.000015,61809750887.0,9861000.0,9978000.0,83462000.0,96685000.0,3,1.747356206300943,-1.1427436100088992
Finlande,36133.42965174135,-109.91195740824648,3.8,54.6,46180408610.000015,49955341172.0,1212000.0,1626000.0,53000.0,1573000.0,3,0.3613257016156278,-1.0376032955794536
France,93271.47860696519,11235.062147711826,4.5,47.2,38566566085.000015,41168651446.0,26061000.0,29312000.0,169977000.0,220354000.0,3,2.8146896854165373,1.1375592561570613
Irlande,43088.0636815921,773.2621477118257,9.1,59.1,70492921726.0,79661622685.00003,6194000.0,7219000.0,12208000.0,14478000.0,3,1.2746554201351046,-1.5763284941519349
Israël,38481.0636815921,376.07250566379685,19.4,55.4,42450331893.0,43841825316.0,8221000.0,4030000.0,32000.0,29925500.0,3,0.2631261467898181,-1.0293130018657677
Italie,52696.6573134329,496.07250566379685,2.9,52.9,33049354269.000008,35163573799.0,14882000.0,18280000.0,8492000.0,8597000.0,3,0.25414033178448614,-0.525852947337577
Japon,48969.884975124434,559.0725056637968,-1.0,51.3,38121908661.0,39087235938.0,7082000.0,9035000.0,7000.0,29925500.0,3,0.4090625999680761,-0.51523196952035
Luxembourg,46651.193432835906,260.0776846397825,24.5,51.4,110003247419.0,120137955478.0,418000.0,434000.0,370000.0,328000.0,3,2.1293091680144736,-2.0101342841277106
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,53222.51900497518,3684.0569687358397,8.0,49.0,40286571861.000015,42889386317.000015,39531000.0,49859000.0,136834000.0,155604000.0,3,2.259587575748232,-0.21714897448388706
République de Corée,46526.69771144286,-471.92749433620315,4.0,55.0,31852314810.000008,33626657541.0,22636000.0,11095000.0,68000.0,66000.0,3,0.07184314381081999,-0.7682891511407938
Suisse,37664.20199004981,464.09322156773885,11.8,56.1,80220632483.00003,82530174862.0,2515000.0,2204000.0,832000.0,728000.0,3,1.2613340055113822,-1.6434718089264713
Suède,40565.74666666673,828.0569687358403,8.0,54.5,54541574444.000015,55704968354.0,5366000.0,5414000.0,14212000.0,15026000.0,3,0.7387315166961492,-1.0451137966566586
Émirats arabes unis,45593.10407960208,561.0776846397823,35.8,52.2,40180344045.0,43407635143.0,2297000.0,2141000.0,1012000.0,793000.0,3,-0.09073404996664619,-0.8765128372122872
États-Unis d'Amérique,201331.7956218904,4139.062147711827,7.8,35.7,60159823416.999985,62981386955.999985,8580000.0,10021000.0,190166000.0,204224000.0,3,3.4026128127706556,1.60367142399997
