Code Domaine,Domaine,Code zone (FAO),Zone,Code ?l?ment,?l?ment,Code Produit,Produit,Code ann?e,Ann?e,Unit?,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2014-)","2","Afghanistan","511","Population totale","2501","Population","2017","2017","1000 personnes","36296","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","2","Afghanistan","511","Population totale","2501","Population","2018","2018","1000 personnes","37172","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","202","Afrique du Sud","511","Population totale","2501","Population","2017","2017","1000 personnes","57010","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","202","Afrique du Sud","511","Population totale","2501","Population","2018","2018","1000 personnes","57793","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","3","Albanie","511","Population totale","2501","Population","2017","2017","1000 personnes","2884","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","3","Albanie","511","Population totale","2501","Population","2018","2018","1000 personnes","2883","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","4","Alg?rie","511","Population totale","2501","Population","2017","2017","1000 personnes","41389","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","4","Alg?rie","511","Population totale","2501","Population","2018","2018","1000 personnes","42228","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","79","Allemagne","511","Population totale","2501","Population","2017","2017","1000 personnes","82658","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","79","Allemagne","511","Population totale","2501","Population","2018","2018","1000 personnes","83124","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","7","Angola","511","Population totale","2501","Population","2017","2017","1000 personnes","29817","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","7","Angola","511","Population totale","2501","Population","2018","2018","1000 personnes","30810","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","8","Antigua-et-Barbuda","511","Population totale","2501","Population","2017","2017","1000 personnes","95","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","8","Antigua-et-Barbuda","511","Population totale","2501","Population","2018","2018","1000 personnes","96","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","194","Arabie saoudite","511","Population totale","2501","Population","2017","2017","1000 personnes","33101","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","194","Arabie saoudite","511","Population totale","2501","Population","2018","2018","1000 personnes","33703","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","9","Argentine","511","Population totale","2501","Population","2017","2017","1000 personnes","43937","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","9","Argentine","511","Population totale","2501","Population","2018","2018","1000 personnes","44361","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","1","Arm?nie","511","Population totale","2501","Population","2017","2017","1000 personnes","2945","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","1","Arm?nie","511","Population totale","2501","Population","2018","2018","1000 personnes","2952","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","10","Australie","511","Population totale","2501","Population","2017","2017","1000 personnes","24585","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","10","Australie","511","Population totale","2501","Population","2018","2018","1000 personnes","24898","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","11","Autriche","511","Population totale","2501","Population","2017","2017","1000 personnes","8820","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","11","Autriche","511","Population totale","2501","Population","2018","2018","1000 personnes","8891","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","52","Azerba?djan","511","Population totale","2501","Population","2017","2017","1000 personnes","9845","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","52","Azerba?djan","511","Population totale","2501","Population","2018","2018","1000 personnes","9950","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","12","Bahamas","511","Population totale","2501","Population","2017","2017","1000 personnes","382","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","12","Bahamas","511","Population totale","2501","Population","2018","2018","1000 personnes","386","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","16","Bangladesh","511","Population totale","2501","Population","2017","2017","1000 personnes","159685","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","16","Bangladesh","511","Population totale","2501","Population","2018","2018","1000 personnes","161377","*","Chiffre non officiel"
